Time(s)	Photodiode_Current(A)	Fit_Temperature(C)
0.2290818691253662	9.587354171734612e-17	23.000008170675734
0.25622034072875977	9.587354171734612e-17	23.000008170675734
0.4347677230834961	5.3640929588774644e-14	23.005102863255043
0.6244771480560303	8.6876340810952e-14	23.008265138456977
0.7353599071502686	8.6876340810952e-14	23.008265138456977
0.832033634185791	4.728581418024687e-14	23.00449818820747
1.024683952331543	1.3310087353026606e-13	23.012663299579827
1.2167928218841553	1.3310087353026606e-13	23.012663299579827
1.4258403778076172	5.092953307890037e-14	23.00484487992851
1.6336634159088135	6.37637254737207e-14	23.006066024691116
1.6956546306610107	6.37637254737207e-14	23.006066024691116
1.8241147994995117	8.395732297317854e-14	23.00798740042447
2.0316033363342285	9.998541572594707e-14	23.009512437677884
2.175077199935913	9.998541572594707e-14	23.009512437677884
2.2250959873199463	2.6787772710755095e-14	23.002547845309834
2.432429313659668	1.0503283084852683e-13	23.009992687961816
2.6328248977661133	2.8641796542187934e-15	23.000271568823944
2.656785249710083	2.8641796542187934e-15	23.000271568823944
2.832566499710083	5.25216636404046e-14	23.004996367598068
3.0241734981536865	6.232114027312011e-14	23.005928765928886
3.1367483139038086	6.232114027312011e-14	23.005928765928886
3.2333908081054688	8.740373740523041e-14	23.00831531906586
3.425859212875366	7.664008994491892e-14	23.007291182032667
3.6178066730499268	7.664008994491892e-14	23.007291182032667
3.8249306678771973	6.684416068618651e-14	23.006359121226566
4.031104564666748	2.3079194805264436e-14	23.00219498239905
4.0951454639434814	2.3079194805264436e-14	23.00219498239905
4.223834991455078	8.841575204181912e-14	23.008411609999886
4.43166184425354	6.64124246048392e-14	23.006318042501988
4.580150127410889	6.64124246048392e-14	23.006318042501988
4.624675512313843	1.9328454987791246e-14	23.001838107876438
4.832354545593262	2.2910686070737665e-14	23.002178949169043
5.024803161621094	6.333783730784123e-14	23.00602550238264
5.056809186935425	6.333783730784123e-14	23.00602550238264
5.236776113510132	5.427895546222805e-14	23.005163569992934
5.429959058761597	3.7526415758463647e-14	23.003569603228975
5.537423133850098	3.7526415758463647e-14	23.003569603228975
5.6321539878845215	4.542300153495332e-15	23.00043123824417
5.824798583984375	6.121347867612745e-14	23.005823374400045
6.015129566192627	6.121347867612745e-14	23.005823374400045
6.032131671905518	6.766473910043216e-14	23.00643719743129
6.228614807128906	5.331864032860796e-14	23.005072198151232
6.4339518547058105	4.8059395818447065e-14	23.00457179277384
6.497133731842041	4.8059395818447065e-14	23.00457179277384
6.62654709815979	7.19430821882229e-14	23.00684427222755
6.8334801197052	3.0340008662973345e-14	23.002885832632693
6.97644567489624	3.0340008662973345e-14	23.002885832632693
7.023442506790161	1.0059492030600053e-13	23.009570430678366
7.232982397079468	3.6760433699866216e-14	23.003496721745645
7.425745725631714	4.943129442553339e-14	23.004702325864457
7.456076145172119	4.943129442553339e-14	23.004702325864457
7.632909297943115	6.253029642471972e-14	23.00594866666991
7.825731515884399	5.009616446715118e-14	23.00476558676504
7.934392213821411	5.009616446715118e-14	23.00476558676504
8.030776739120483	8.44371976309842e-14	23.00803305942716
8.228840827941895	3.5678420260516416e-14	23.003393770581763
8.418170690536499	3.5678420260516416e-14	23.003393770581763
8.62812852859497	3.846031024039298e-14	23.003658461204637
8.832046270370483	7.264207410508788e-14	23.006910779748406
8.895504236221313	7.264207410508788e-14	23.006910779748406
9.023734092712402	1.1602908033241793e-13	23.011038956558426
9.23308253288269	6.536638634882519e-14	23.00621851429651
9.378067016601562	6.536638634882519e-14	23.00621851429651
9.426114559173584	6.47713287627201e-14	23.00616189589526
