240,21
491,21
615,23
656,24
691,25
709,27
725,29
765,33
800,36
890,56
925,64
950,70
975,76
1000,81
1050,91
1075,95
1100,99
1125,102
1150,106
1200,112
1225,114
1260,119
1275,121
1300,126
1325,130
1350,133
1375,137
1400,140
1425,144
1450,151
1475,159
1500,165
1525,171
1550,179
1575,180
1625,193
1650,202
1675,209
1700,216
1725,221
1750,226
1775,230
1800,233
1850,246
1875,254
1900,260
1950,271
1975,275
2000,279
2075,287
2100,289
2125,293
2150,303
2175,311
2200,318
2225,323
2250,327
2275,332
2300,336
2325,339
2350,341
2375,353
2400,377
2425,396
2450,409
2475,419
2500,426
2525,432
2550,438
