25,109
450,85
525,96
550,115
575,135
600,152
650,181
675,194
700,205
750,222
775,230
800,236
850,245
875,248
900,251
925,257
950,270
975,281
1000,290
1025,297
1050,304
1075,309
1100,314
1125,319
1150,322
1175,326
1200,329
1225,331
1275,335
1300,337
1325,342
1350,364
1375,382
1475,418
1500,424
1550,430
1575,433
1600,436
1625,439
1650,441
1725,448
1775,451
1800,452
1900,459
1925,486
1950,530
1975,556
2000,574
2025,586
2050,593
2075,599
2100,604
2125,610
2150,614
2175,617
2200,620
2225,623
2250,627
2275,630
2300,632
2350,638
2400,644
2450,650
2500,656
2525,660
2550,662
2600,667
2650,673
2675,675
2700,677
2725,679
2750,760
2785,856
2800,869
2825,886
2850,904
2875,938
2900,960
2925,983
2950,992
2975,997
3000,1017
3025,1031
3050,1031
3075,1072
3110,1084
3150,1094
3175,1099
3200,1102
3225,1107
3250,1008
3275,935
3300,920
3325,920
3400,944
3425,954
3450,964
3475,974
3500,983
3525,993
3550,1003
3575,1014
3625,1028
3650,1033
3675,1036
3700,1041
3725,1045
3750,1049
3775,1054
3800,949
3825,865
3860,836
3900,831
3925,831
3950,833
3975,836
4000,839
4025,843
4075,851
4100,856
4175,867
4200,871
4225,874
4250,878
4275,882
4300,886
4325,889
4350,894
4375,897
4400,900
4450,905
4575,915
4600,914
4650,910
4710,900
4770,882
4780,878
4800,871
4825,862
4875,843
4900,830
4925,817
4950,802
4975,787
5100,723
5125,708
5175,686
5200,677
5225,667
5250,657
5275,648
5300,636
5325,623
5350,613
5400,591
5425,582
5450,575
5475,568
5500,560
5525,552
5550,544
5575,537
5600,531
5625,526
5650,522
5675,517
5700,514
5725,509
5750,505
5775,499
5800,494
5860,479
5900,470
5950,458
6000,448
6100,434
6175,424
6200,421
6375,411
6450,408
6600,402
6700,399
6875,394
7000,392
7100,390
7200,389
8600,378
8640,372
8650,363
8750,323
8850,306
8925,299
9050,291
9125,288
9150,284
9200,266
9250,254
9300,245
9400,233
9540,223
9600,219
9640,213
9660,205
9700,191
9750,177
9775,171
9820,162
9850,156
9900,148
9950,141
10000,135
