Time(s)	Photodiode_Current(A)	Fit_Temperature(C)
0.21006250381469727	9.587354171734612e-17	497.70424162595106
0.41005396842956543	3.2091750724926385e-14	497.70417102543456
0.6095232963562012	1e-17	497.70424181543535
1.0087532997131348	1.4543965668302808e-14	497.70420974550717
1.2092175483703613	8.4251978630474e-15	497.7042232468769
1.4086847305297852	1e-17	497.70424181543535
2.209414005279541	3.700247759970887e-15	497.7042336727176
2.41005277633667	1e-17	497.70424181543535
3.409506320953369	5.3855764249252647e-14	497.70412300204123
3.609797716140747	2.2695104327200184e-15	497.70423682971165
3.8095669746398926	1e-17	497.70424181543535
4.809197902679443	1.2170420107902175e-14	497.70421498285515
5.0093066692352295	1e-17	497.70424181543535
5.610083341598511	2.8818400794108088e-15	497.7042354785754
5.810091018676758	4.13125208955506e-14	497.7041506793402
6.010059595108032	1e-17	497.70424181543535
6.609607934951782	4.3221719606134634e-14	497.70414646659697
6.809587240219116	1.5496267870241873e-14	497.70420764420436
7.009201288223267	1e-17	497.70424181543535
7.609482765197754	6.148761241917683e-15	497.7042282699491
7.810006856918335	1e-17	497.70424181543535
9.410093069076538	6.5347507678496786e-15	497.70422741824376
9.610049962997437	1e-17	497.70424181543535
9.809246301651001	3.005027257303554e-14	497.70417553005905
10.009915113449097	1e-17	497.70424181543535
10.609461545944214	2.3548066505085265e-15	497.7042366415012
10.809454202651978	1e-17	497.70424181543535
11.409095764160156	4.730608876087235e-14	497.7041374542305
11.610109329223633	1e-17	497.70424181543535
14.410104274749756	2.381990987104527e-14	497.70418927766855
14.61010456085205	1e-17	497.70424181543535
15.40998649597168	1.226160913390473e-14	497.70421478164195
15.610112428665161	1e-17	497.70424181543535
17.209392309188843	1.4135566191685305e-14	497.70421064666124
17.40975069999695	1e-17	497.70424181543535
17.809474229812622	2.115544745677836e-14	497.7041951569392
18.00976061820984	1e-17	497.70424181543535
21.61031937599182	5.271784832944996e-15	497.70423020504177
21.809807777404785	1e-17	497.70424181543535
22.210054397583008	9.648386283716073e-15	497.70422054784996
22.410102605819702	1e-17	497.70424181543535
22.609507083892822	1.970562859480822e-14	497.70419835603764
22.80930995941162	1e-17	497.70424181543535
23.4094021320343	2.6650885410215222e-14	497.70418303097824
23.60997462272644	1e-17	497.70424181543535
24.210108757019043	6.455783156726581e-15	497.70422759248976
24.4098641872406	1e-17	497.70424181543535
26.210104942321777	1.0660838836338508e-14	497.70421831382237
26.40982413291931	1e-17	497.70424181543535
27.009291648864746	7.093920520891671e-16	497.7042402721915
27.21010136604309	1e-17	497.70424181543535
27.409643173217773	1.0265536183151451e-14	497.7042191860776
27.609614849090576	1e-17	497.70424181543535
28.410101652145386	1.6270232367334228e-14	497.7042059364127
28.610103130340576	1e-17	497.70424181543535
31.009962558746338	3.118729233198003e-14	497.7041730211676
31.209254503250122	1e-17	497.70424181543535
31.610103130340576	2.239286094876322e-14	497.70419242652395
31.810076236724854	1e-17	497.70424181543535
32.61011362075806	1.504843308069905e-14	497.7042086323744
32.810107946395874	1e-17	497.70424181543535
33.20932674407959	3.2946339206070194e-14	497.70416913974196
33.41010117530823	1e-17	497.70424181543535
33.61011075973511	1.1023582390066056e-14	497.7042175134104
33.80954456329346	1e-17	497.70424181543535
35.60977649688721	2.566145394254974e-15	497.7042361751716
35.810105323791504	1e-17	497.70424181543535
36.41010522842407	7.583328428639562e-15	497.70422510450425
36.60969114303589	3.66789965641854e-14	497.7041609034453
36.81010842323303	1e-17	497.70424181543535
37.00974369049072	2.1212815304229998e-14	497.7041950303542
37.21010088920593	1e-17	497.70424181543535
38.60939908027649	9.313033234403887e-15	497.7042212878234
38.809375047683716	1e-17	497.70424181543535
39.0093674659729	2.387174320521955e-14	497.70418916329567
39.21005082130432	1e-17	497.70424181543535
42.609729051589966	2.803369718979397e-14	497.7041799797343
42.810059785842896	1e-17	497.70424181543535
44.210103034973145	3.1919487940377383e-14	497.7041714055411
44.40970158576965	1e-17	497.70424181543535
44.810105085372925	5.480194748518075e-15	497.70422974517476
45.0100462436676	1e-17	497.70424181543535
45.209609031677246	7.38777139100812e-15	497.7042255360107
45.40955376625061	5.887324183934464e-14	497.7041119307239
45.610103607177734	1e-17	497.70424181543535
47.210164070129395	3.7215981571426734e-14	497.7041597185608
47.41012120246887	1e-17	497.70424181543535
47.80991291999817	3.318625959431408e-14	497.70416861034556
48.01005148887634	1e-17	497.70424181543535
49.009047746658325	2.128905335168057e-14	497.7041948621311
49.20978379249573	1e-17	497.70424181543535
51.209644079208374	1.1328222024710802e-14	497.7042168412077
51.409226179122925	1e-17	497.70424181543535
55.81010317802429	2.8370729058407613e-15	497.7042355773564
56.010106801986694	1e-17	497.70424181543535
