Time(s)	Photodiode_Current(A)	Fit_Temperature(C)
0.21091294288635254	9.587354171734612e-17	497.70424162595106
0.41122889518737793	9.080015317647176e-15	497.70422180198915
0.6109459400177002	1e-17	497.70424181543535
2.410954236984253	1.5923785727511852e-14	497.70420670086463
2.6110012531280518	1.281745756488142e-14	497.7042135551344
2.810957193374634	1e-17	497.70424181543535
5.011042833328247	2.7701887279300147e-14	497.70418071188965
5.210854530334473	1e-17	497.70424181543535
7.011244773864746	2.1237936607379666e-14	497.70419497492276
7.210952043533325	1e-17	497.70424181543535
7.811021327972412	6.34509882041002e-15	497.70422783672035
8.010698556900024	1e-17	497.70424181543535
8.811019897460938	5.483833602059479e-15	497.70422973714545
9.010940313339233	1e-17	497.70424181543535
9.410224914550781	4.640047840311773e-14	497.7041394525054
9.611520051956177	1e-17	497.70424181543535
10.011061906814575	2.435853812220428e-14	497.70418808915815
10.211029052734375	1e-17	497.70424181543535
11.010948181152344	2.657568413109209e-15	497.7042359734421
11.21099305152893	1e-17	497.70424181543535
11.811406135559082	3.935257813516245e-14	497.7041550040527
12.010820865631104	1e-17	497.70424181543535
12.81122350692749	2.6660419613069516e-14	497.70418300994055
13.010926008224487	6.483967754529994e-15	497.704227530299
13.211009502410889	1e-17	497.70424181543535
13.81084156036377	1.3951454263237163e-14	497.7042110529135
14.010876417160034	2.5839519326303906e-15	497.7042361358806
14.211040735244751	1e-17	497.70424181543535
14.411046981811523	1.267712029914738e-14	497.70421386479563
14.610713243484497	1e-17	497.70424181543535
15.41081690788269	3.9925545949036096e-15	497.7042330277278
15.611093759536743	1.6382343954166913e-14	497.7042056890328
15.810940980911255	1e-17	497.70424181543535
17.210899114608765	2.0386543558029374e-15	497.70423733910724
17.41098642349243	1e-17	497.70424181543535
17.810895442962646	6.909387087673151e-15	497.7042265915898
18.01127576828003	1e-17	497.70424181543535
19.61103916168213	4.7613192414360656e-14	497.70413677659076
19.81094241142273	1e-17	497.70424181543535
22.411428689956665	3.779874362726948e-15	497.70423349701747
22.611084938049316	1.0961305139652131e-14	497.7042176508283
22.811564922332764	1e-17	497.70424181543535
23.211132764816284	2.4824953426478072e-14	497.70418705998924
23.41103482246399	1e-17	497.70424181543535
24.011075735092163	5.55400350547592e-15	497.70422958231205
24.211069583892822	1e-17	497.70424181543535
24.41107940673828	1.9403349640987472e-14	497.7041990230314
24.61102795600891	1e-17	497.70424181543535
25.01105284690857	5.906524218563056e-15	497.70422880445733
25.210919618606567	1e-17	497.70424181543535
25.411033391952515	5.046864212350857e-14	497.704130475897
25.610859155654907	9.760734192741042e-15	497.70422029994864
25.811543226242065	1e-17	497.70424181543535
27.210989236831665	9.844992795169163e-15	497.7042201140278
27.41107726097107	1e-17	497.70424181543535
29.211416244506836	2.6635042505969778e-14	497.70418306593643
29.410898447036743	1e-17	497.70424181543535
30.01099920272827	4.501195762147449e-14	497.7041425163465
30.210940837860107	2.7389166103305648e-14	497.7041814019247
30.410896062850952	1e-17	497.70424181543535
30.810490369796753	1.0268249229681507e-14	497.7042191800911
31.01086401939392	1e-17	497.70424181543535
33.411346435546875	3.658321407850988e-14	497.7041611147942
33.61110782623291	1.0938198080851034e-15	497.7042394239323
33.81115198135376	1.8987612317947905e-14	497.7041999403768
34.011110067367554	1e-17	497.70424181543535
34.61137342453003	1.951696894646627e-14	497.7041987723247
34.810955286026	1e-17	497.70424181543535
35.2111337184906	2.3580585793996252e-14	497.7041898057492
35.41111707687378	1e-17	497.70424181543535
35.61120533943176	3.3485558686226387e-15	497.7042344487435
35.81110668182373	2.2641092424285567e-14	497.70419187878866
36.01078987121582	1e-17	497.70424181543535
36.61090350151062	6.4846682507773735e-15	497.70422752875334
