Time(s)	Photodiode_Current(A)	Fit_Temperature(C)
0.20961356163024902	9.587354171734612e-17	497.70424162595106
0.4097914695739746	4.848852430683337e-10	496.63431809703593
0.6098570823669434	4.86830131762872e-10	496.6300266020552
0.8091914653778076	9.729697048044272e-10	495.55733511925143
1.0089595317840576	2.8777610623365035e-06	860.0871584416401
1.2093923091888428	4.099435045645805e-06	905.6622857909011
1.409858226776123	4.079037353221793e-06	905.0203146121523
1.609574317932129	4.0653881114849355e-06	904.590735637007
1.8097410202026367	4.045595233037602e-06	903.9677996085811
2.0097503662109375	4.032347533211578e-06	903.5508582557931
2.209660768508911	4.012791123386705e-06	902.9353645417792
2.410036087036133	3.99357713831705e-06	902.3306478715197
2.609480381011963	3.974348146584816e-06	901.720611368081
2.8102991580963135	3.95465622204938e-06	901.0899096451832
3.0102388858795166	3.934570941055426e-06	900.4427165079924
3.21024751663208	3.914620720024686e-06	899.7618365677347
3.409700632095337	3.894840119755827e-06	899.0049463338551
3.6099514961242676	3.875393758789869e-06	898.2608455229812
3.80954647064209	3.85623934562318e-06	897.5279158815898
4.009764671325684	3.837359145109076e-06	896.8054787872358
4.209897756576538	3.818869572569383e-06	896.0979887872516
4.4106645584106445	3.8005359783710446e-06	895.3964671846701
4.609722375869751	3.7834872728126356e-06	894.7441109082145
4.810093879699707	3.7690376757382182e-06	894.1912076211318
5.009722471237183	3.7566414903267287e-06	893.7168766328003
5.209666013717651	3.745063395399484e-06	893.2738492798256
5.40958309173584	3.7338616039050976e-06	892.8452209030921
5.610073804855347	3.7227143820928177e-06	892.4186805954207
5.80958890914917	3.7113165944901993e-06	891.982552570639
6.010099172592163	3.6997355437051738e-06	891.5394121139234
6.2103235721588135	3.6879146136925556e-06	891.0870928536222
6.409693479537964	3.6758804071723716e-06	890.626612723403
6.609719753265381	3.6638548408518545e-06	890.1664632041187
6.810041427612305	3.65168443750008e-06	889.7007716015319
7.009773015975952	3.6395119877852267e-06	889.2350016963553
7.209681749343872	3.627246087489766e-06	888.7656559729097
7.410619020462036	3.615122068367782e-06	888.3017392290258
7.609771728515625	3.6029807688464643e-06	887.8371612632722
7.809715747833252	3.590822188925813e-06	887.3719220756489
8.009691953659058	3.5788523291557794e-06	886.9139041268654
8.209754705429077	3.566886107364553e-06	886.4560253826862
8.409702777862549	3.5550090160541004e-06	886.0015571513085
8.610262155532837	3.543240381986834e-06	885.5512389571918
8.809820890426636	3.5315028981131036e-06	885.1021127024982
9.009878158569336	3.5198424939153483e-06	884.6559358453547
9.209562301635742	3.5083955935988342e-06	884.217928558417
9.409736633300781	3.4983281693712343e-06	883.832705917313
9.609703302383423	3.4916195090772817e-06	883.5760039269844
9.809739112854004	3.487299181870185e-06	883.4106897592762
10.009925842285156	3.483767841316876e-06	883.2755655900916
10.209796667098999	3.4801382753357757e-06	883.1366828965951
10.410362243652344	3.4771489936247235e-06	883.0223002134279
10.61005973815918	3.4762410905386787e-06	882.9875599644063
10.809935092926025	3.4766503631544765e-06	883.0032204823725
11.009788274765015	3.47724198945798e-06	883.0258586311213
11.209756851196289	3.477339532764745e-06	883.0295910545699
11.409809112548828	3.4768647765304195e-06	883.0114248537292
11.609743356704712	3.475767243799055e-06	882.9694285647166
11.809725999832153	3.47411787515739e-06	882.906316677313
12.009636640548706	3.4720785606623394e-06	882.8282837964028
12.210155963897705	3.4704842164501315e-06	882.7672773786369
12.409707307815552	3.4740889987006085e-06	882.9052117407676
12.609684467315674	3.4834788493753877e-06	883.2645075243499
12.809865951538086	3.4950357985508163e-06	883.706725750563
13.009843111038208	3.5065916108578676e-06	884.1489004753373
13.209742069244385	3.5172761272406206e-06	884.5577356974192
13.40966272354126	3.5268865303805796e-06	884.9254707601277
13.60978651046753	3.5358273180463584e-06	885.267583475386
13.810264587402344	3.5461978313833242e-06	885.6644036000728
14.009818077087402	3.557712261681445e-06	886.1049948724749
14.210659503936768	3.569200771380565e-06	886.5445943120726
14.409847736358643	3.580147904358455e-06	886.963478366516
14.610167980194092	3.590252845242503e-06	887.3501365551003
14.810448408126831	3.6001542866870295e-06	887.7290079861403
15.010273218154907	3.6106953302805778e-06	888.1323533266464
15.209544897079468	3.6214562442182796e-06	888.5441118454153
15.409492254257202	3.6318790535005974e-06	888.9429330362866
15.609836339950562	3.6418023228179663e-06	889.3226396949514
15.810397624969482	3.6511933103611227e-06	889.6819789799725
16.009887218475342	3.660137963379384e-06	890.0242396001228
16.20944619178772	3.6686512885353295e-06	890.3499957743942
16.40969443321228	3.6767789879377233e-06	890.6609962606265
16.609615802764893	3.6845594877377152e-06	890.9587114074508
16.810194730758667	3.692108066388755e-06	891.2475522607609
17.010245323181152	3.6994065339968074e-06	891.5268227975362
17.209752559661865	3.7066740787849994e-06	891.8049100951762
17.410277366638184	3.714350668815314e-06	892.0986492104946
17.60964298248291	3.7239465200400446e-06	892.4658274547866
17.809510946273804	3.7347797388065374e-06	892.8803526650629
18.01002335548401	3.7459799386851955e-06	893.3089201397821
18.210361003875732	3.7570041513390606e-06	893.7307535917759
18.409446001052856	3.7676461488445057e-06	894.1379618600469
18.609543561935425	3.777907068069908e-06	894.5305884460338
18.810009002685547	3.7877446175116347e-06	894.9070150962135
19.00969648361206	3.7973011330905138e-06	895.2726881907231
19.20987892150879	3.8065277294663247e-06	895.6257371676945
19.410364151000977	3.815490799752297e-06	895.9687025111532
19.610629320144653	3.82421330868965e-06	896.302462950163
19.809779405593872	3.832834408967756e-06	896.6323430608321
20.00980019569397	3.841209490929032e-06	896.9528094601461
20.209847927093506	3.84943177778041e-06	897.2674292660861
20.409861087799072	3.857650881400332e-06	897.5819272679975
20.609577178955078	3.865745384246111e-06	897.891657512217
20.809004306793213	3.873635705531342e-06	898.1935748980288
21.009737014770508	3.881542852468556e-06	898.4961361051348
21.20936393737793	3.889271283696871e-06	898.7918588860623
21.409722566604614	3.8969965316937305e-06	899.0874598629612
21.609795570373535	3.904578989022411e-06	899.3775970591474
21.809990406036377	3.912175088771619e-06	899.6682562725993
22.00966167449951	3.91973708246951e-06	899.9576104428871
22.209586143493652	3.927185389329679e-06	900.2045047787946
22.410754680633545	3.9345864024653565e-06	900.4432151964224
22.609535932540894	3.94184189644875e-06	900.6772320758851
