Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.023962020874023438	9.587354171734612e-17	119.72662705273277	20.25
0.21485209465026855	7.270645197010595e-11	59.451538566245524	20.0
0.3915224075317383	7.270645197010595e-11	59.451538566245524	20.0
0.488847017288208	7.268277646410581e-11	59.43448047144402	20.0
0.6204104423522949	7.272028118565643e-11	59.46150245339072	20.0
0.7933967113494873	7.272028118565643e-11	59.46150245339072	20.0
0.8953244686126709	7.276087371499429e-11	59.490749186857556	20.0
1.0150401592254639	7.275541974438582e-11	59.486819625745596	20.0
1.2233901023864746	7.269632118500624e-11	59.44423938148286	20.25
1.402402400970459	7.269632118500624e-11	59.44423938148286	20.25
1.483839750289917	7.269632118500624e-11	59.44423938148286	20.25
1.6233530044555664	7.269203294857363e-11	59.44114972656278	20.25
1.7344205379486084	7.269203294857363e-11	59.44114972656278	19.75
1.9131991863250732	7.267665635968257e-11	59.43007096393671	19.75
2.0259270668029785	7.274546243163371e-11	59.47964542702339	19.75
2.214318037033081	7.274546243163371e-11	59.47964542702339	20.0
2.4235706329345703	7.276096392061504e-11	59.49081417959859	20.0
2.6225202083587646	7.270330171227357e-11	59.449268819750834	20.0
2.717951774597168	7.270330171227357e-11	59.449268819750834	20.0
2.8218750953674316	7.265744256246265e-11	59.416227510095744	20.0
3.0158801078796387	7.271984403534049e-11	59.46118748856877	20.0
3.1738600730895996	7.271984403534049e-11	59.46118748856877	20.0
3.323840856552124	7.270872098841252e-11	59.4531733836547	20.0
3.4302167892456055	7.272201590913241e-11	59.462752313795285	20.0
3.6266300678253174	7.271086510662883e-11	59.45471821111474	19.5
3.730947256088257	7.271086510662883e-11	59.45471821111474	19.5
3.8359711170196533	7.271349494741841e-11	59.45661299948806	19.5
4.028292655944824	7.270756913202447e-11	59.452343476346066	20.0
4.1390461921691895	7.270756913202447e-11	59.452343476346066	20.0
4.235966444015503	7.273131402696364e-11	59.46945156556376	20.0
4.4290196895599365	7.268480956001966e-11	59.43594530783817	20.0
4.619782209396362	7.268480956001966e-11	59.43594530783817	20.0
4.825439691543579	7.272850377493256e-11	59.46742679170836	20.0
5.020533800125122	7.26744081580577e-11	59.42845114485239	20.0
5.141273021697998	7.26744081580577e-11	59.42845114485239	20.0
5.244588375091553	7.274670449364251e-11	59.480540327073065	20.0
5.421061277389526	7.269402441112405e-11	59.44258456630722	20.0
5.57403826713562	7.269402441112405e-11	59.44258456630722	20.0
5.752554893493652	7.267544899214329e-11	59.42920106109513	20.0
5.851823091506958	7.264319007438402e-11	59.40595865701183	20.0
