Time(s)	Photodiode_Current(A)	Fit_Temperature(C)
0.22879958152770996	9.587354171734612e-17	96.8890164930009
0.4196956157684326	2.0242261236343498e-14	96.89032262942706
0.49395751953125	2.0242261236343498e-14	96.89032262942706
0.6297347545623779	1e-17	96.88901092562263
0.8249630928039551	1e-17	96.88901092562263
0.9701564311981201	1e-17	96.88901092562263
1.0243620872497559	1e-17	96.88901092562263
1.22934889793396	7.85890720989696e-15	96.88951978824197
1.4323952198028564	1e-17	96.88901092562263
1.4549283981323242	1e-17	96.88901092562263
1.6367378234863281	1e-17	96.88901092562263
1.8218770027160645	8.820275205470487e-15	96.88958211592954
1.9418330192565918	8.820275205470487e-15	96.88958211592954
2.0356380939483643	1e-17	96.88901092562263
2.2249085903167725	1e-17	96.88901092562263
2.418687105178833	1e-17	96.88901092562263
2.6248559951782227	1e-17	96.88901092562263
2.835752248764038	1e-17	96.88901092562263
2.8909764289855957	1e-17	96.88901092562263
3.028230905532837	1e-17	96.88901092562263
3.2359540462493896	1e-17	96.88901092562263
3.3741941452026367	1e-17	96.88901092562263
3.4263174533843994	1e-17	96.88901092562263
3.624807119369507	1e-17	96.88901092562263
3.820786952972412	1e-17	96.88901092562263
3.859520435333252	1e-17	96.88901092562263
4.023241758346558	1e-17	96.88901092562263
4.223518371582031	1e-17	96.88901092562263
4.339551687240601	1e-17	96.88901092562263
4.438107967376709	1e-17	96.88901092562263
4.623986482620239	1e-17	96.88901092562263
4.821120977401733	1e-17	96.88901092562263
5.03023886680603	1e-17	96.88901092562263
5.235340595245361	2.8492114808979785e-14	96.8908574863168
5.287775278091431	2.8492114808979785e-14	96.8908574863168
5.428370952606201	1e-17	96.88901092562263
5.631723403930664	1e-17	96.88901092562263
5.779220104217529	1e-17	96.88901092562263
5.822915077209473	1e-17	96.88901092562263
6.041351079940796	1.542188482494579e-14	96.89001011339123
6.230366945266724	1e-17	96.88901092562263
6.259243011474609	1e-17	96.88901092562263
6.433568954467773	1e-17	96.88901092562263
6.630006790161133	1e-17	96.88901092562263
6.738893747329712	1e-17	96.88901092562263
6.834310531616211	1e-17	96.88901092562263
7.028228521347046	1e-17	96.88901092562263
7.2183616161346436	1e-17	96.88901092562263
7.420774936676025	5.706971832398534e-16	96.88904727690436
7.636182546615601	1e-17	96.88901092562263
7.699887752532959	1e-17	96.88901092562263
7.825969696044922	1e-17	96.88901092562263
8.035930871963501	6.460773874851803e-15	96.88942914405774
8.178616523742676	6.460773874851803e-15	96.88942914405774
8.226065635681152	1e-17	96.88901092562263
8.436818361282349	6.752020436292801e-16	96.88905405219366
8.622218370437622	1e-17	96.88901092562263
8.65736198425293	1e-17	96.88901092562263
8.837279558181763	6.777653135584373e-15	96.88944968806551
9.030850172042847	1e-17	96.88901092562263
9.13879942893982	1e-17	96.88901092562263
9.237111330032349	2.86303615974e-15	96.88919589448702
9.422528982162476	4.7688776552375946e-15	96.88931945455334
9.622214317321777	4.7688776552375946e-15	96.88931945455334
9.825677871704102	1e-17	96.88901092562263
10.0343177318573	1e-17	96.88901092562263
10.100006818771362	1e-17	96.88901092562263
10.227065801620483	1e-17	96.88901092562263
10.4287269115448	1e-17	96.88901092562263
10.580323696136475	1e-17	96.88901092562263
10.624590635299683	1e-17	96.88901092562263
10.829339981079102	1e-17	96.88901092562263
11.029754877090454	1e-17	96.88901092562263
11.058631420135498	1e-17	96.88901092562263
11.240559577941895	1e-17	96.88901092562263
11.42652153968811	1e-17	96.88901092562263
11.54229187965393	1e-17	96.88901092562263
11.637184381484985	1e-17	96.88901092562263
11.826808452606201	1e-17	96.88901092562263
12.015405654907227	1e-17	96.88901092562263
