Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.0009965896606445312	9.587354171734612e-17	119.72662705273108	18.5
0.059838294982910156	4.357508277819111e-13	119.73837988006035	18.5
0.2044515609741211	5.049293231793039e-13	119.74024613431361	18.5
0.40491557121276855	4.625653701219312e-13	119.73910326604039	14.0
0.5136246681213379	4.625653701219312e-13	119.73910326604039	13.25
0.6662178039550781	4.881469577514008e-13	119.73979339013812	13.25
0.8048465251922607	4.713904505453115e-13	119.73934134354961	13.25
0.9933428764343262	4.713904505453115e-13	119.73934134354961	12.0
1.0721325874328613	5.003276981087323e-13	119.74012199454573	12.0
1.2047781944274902	4.4455425126689596e-13	119.7386173733222	12.0
1.4052417278289795	4.83813726928628e-13	119.73967649094268	12.75
1.4770503044128418	4.83813726928628e-13	119.73967649094268	12.75
1.604708194732666	4.729831977468013e-13	119.73938431168908	12.75
1.8051724433898926	4.46411435378255e-13	119.73866747527552	14.5
1.953775405883789	4.46411435378255e-13	119.73866747527552	14.5
2.0834290981292725	4.846353895450461e-13	119.73969865724371	14.5
2.205103874206543	4.779389774570153e-13	119.73951800561969	14.5
2.4045701026916504	4.671582131549057e-13	119.73922716889193	13.25
2.488346576690674	4.671582131549057e-13	119.73922716889193	13.25
2.605037212371826	3.993261884355226e-13	119.73739723888387	13.25
2.804502487182617	4.634874840696301e-13	119.7391281422547	14.0
2.914207935333252	4.634874840696301e-13	119.7391281422547	14.0
3.0049681663513184	4.784537024384028e-13	119.73953189154884	14.0
3.2044341564178467	4.576359365245086e-13	119.73897028285877	13.0
3.3939261436462402	4.576359365245086e-13	119.73897028285877	12.75
3.500640392303467	3.6750848675035086e-13	119.73653888079502	12.75
3.6043636798858643	4.965293584277553e-13	119.74001952530953	12.75
3.8048274517059326	4.632734625607815e-13	119.73912236851606	13.75
3.905557870864868	4.632734625607815e-13	119.73912236851606	13.75
4.008283615112305	4.861290948780794e-13	119.7397389534935	13.75
4.204758167266846	4.454493414754457e-13	119.73864152050695	14.0
4.354358434677124	4.454493414754457e-13	119.73864152050695	14.0
4.413201093673706	4.316802449354229e-13	119.73827006641801	14.0
4.604689598083496	4.211580899565054e-13	119.73798620629111	14.0
4.8051536083221436	4.3695461745402175e-13	119.73841235514647	14.25
4.917852163314819	4.3695461745402175e-13	119.73841235514647	14.25
5.019580125808716	4.774973277020533e-13	119.73950609106836	14.25
5.205084323883057	4.485443321020771e-13	119.73872501523154	14.0
5.322772026062012	4.485443321020771e-13	119.73872501523154	14.0
5.425495386123657	4.498395200173283e-13	119.73875995600238	14.0
5.60501503944397	4.4051204741227257e-13	119.73850832527059	13.5
5.794508218765259	4.4051204741227257e-13	119.73850832527059	14.25
5.9291486740112305	4.721897243868678e-13	119.73936290586023	14.25
6.031874179840088	4.676402494407927e-13	119.73924017296586	14.25
6.204412460327148	4.252773805855925e-13	119.73809733394158	14.25
6.334066390991211	4.252773805855925e-13	119.73809733394158	14.25
6.436791658401489	4.406925941790457e-13	119.73851319594853	14.25
6.604343414306641	4.753855729205947e-13	119.73944912146646	14.25
6.753943681716919	4.753855729205947e-13	119.73944912146646	14.25
6.842706918716431	4.548900861024718e-13	119.73889620702062	14.25
7.005271673202515	4.0583812352390503e-13	119.7375729138026	14.75
7.204738616943359	4.4532978108087484e-13	119.73863829508127	14.5
7.346360445022583	4.4532978108087484e-13	119.73863829508127	14.5
7.4480881690979	4.547370238607712e-13	119.73889207780303	14.5
7.6046693325042725	4.765061500759671e-13	119.73947935169727	14.25
7.751277685165405	4.765061500759671e-13	119.73947935169727	14.25
7.8540074825286865	5.08397414878542e-13	119.74033969432597	14.25
8.00460147857666	4.430831244441047e-13	119.73857768618136	14.25
8.194093704223633	4.430831244441047e-13	119.73857768618136	14.25
8.259918451309204	4.914845115090716e-13	119.7398834285794	14.25
8.404531717300415	4.254564907844871e-13	119.73810216586469	14.25
8.604995489120483	4.1707956532910373e-13	119.73787617840037	11.0
8.674809455871582	4.1707956532910373e-13	119.73787617840037	11.0
8.804462194442749	4.432316872467895e-13	119.73858169401588	11.0
9.004927158355713	5.068527520434019e-13	119.7402980233765	10.25
9.154526710510254	5.068527520434019e-13	119.7402980233765	12.0
9.271218061447144	4.564595229572532e-13	119.73893854630812	12.0
9.404857635498047	4.583727061108211e-13	119.73899015896863	12.0
