Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.0029993057250976562	9.587354171734612e-17	119.72662705273108	39.0
0.19678139686584473	2.044656727728713e-14	119.72717606103956	32.0
0.3569624423980713	2.044656727728713e-14	119.72717606103956	32.0
0.459730863571167	1e-17	119.72662473608828	32.0
0.5949418544769287	1e-17	119.72662473608828	32.0
0.7443246841430664	1e-17	119.72662473608828	24.25
0.8629095554351807	4.648321996953732e-14	119.7278784615984	24.25
0.9955565929412842	1e-17	119.72662473608828	24.25
1.195054531097412	1e-17	119.72662473608828	13.75
1.2678608894348145	1e-17	119.72662473608828	13.75
1.395615577697754	1e-17	119.72662473608828	13.75
1.5968387126922607	1e-17	119.72662473608828	30.75
1.7050087451934814	1e-17	119.72662473608828	30.75
1.7954332828521729	1e-17	119.72662473608828	30.75
1.9972825050354004	1e-17	119.72662473608828	32.0
2.1860122680664062	1e-17	119.72662473608828	31.0
2.282402753829956	1e-17	119.72662473608828	31.0
2.3949427604675293	1e-17	119.72662473608828	31.0
2.59706711769104	1e-17	119.72662473608828	33.0
2.6878910064697266	1e-17	119.72662473608828	33.0
2.796942949295044	1e-17	119.72662473608828	33.0
2.997171640396118	2.4132419288802956e-14	119.72727549565364	34.5
3.14618182182312	2.4132419288802956e-14	119.72727549565364	33.5
3.292379379272461	1e-17	119.72662473608828	33.5
3.396458387374878	1e-17	119.72662473608828	33.5
3.5966269969940186	1e-17	119.72662473608828	33.5
3.6996259689331055	1e-17	119.72662473608828	33.5
3.800668478012085	1e-17	119.72662473608828	33.5
3.996593713760376	1e-17	119.72662473608828	35.0
4.106253623962402	1e-17	119.72662473608828	35.0
4.205819606781006	1e-17	119.72662473608828	35.0
4.3966898918151855	1e-17	119.72662473608828	30.25
4.5849785804748535	1e-17	119.72662473608828	18.75
4.7091076374053955	1e-17	119.72662473608828	18.75
4.811558961868286	1e-17	119.72662473608828	18.75
4.9951331615448	1e-17	119.72662473608828	33.25
5.11667275428772	1e-17	119.72662473608828	33.25
5.217192888259888	1e-17	119.72662473608828	33.25
5.395152807235718	1e-17	119.72662473608828	32.25
5.544353246688843	1e-17	119.72662473608828	32.25
5.622797966003418	1e-17	119.72662473608828	32.25
5.797244548797607	1e-17	119.72662473608828	26.0
5.9956653118133545	1e-17	119.72662473608828	28.0
6.126640558242798	1e-17	119.72662473608828	28.0
6.230823040008545	1e-17	119.72662473608828	28.0
6.395139932632446	1e-17	119.72662473608828	27.25
6.531470060348511	1e-17	119.72662473608828	27.25
6.634449243545532	1e-17	119.72662473608828	27.25
6.795116424560547	1e-17	119.72662473608828	31.75
6.984571218490601	1e-17	119.72662473608828	31.5
7.137824058532715	1e-17	119.72662473608828	31.5
7.242360353469849	6.4148257255950466e-15	119.7267975214775	31.5
7.395144701004028	1e-17	119.72662473608828	31.75
7.545405149459839	1e-17	119.72662473608828	31.75
7.644899129867554	1.4916418548946496e-15	119.7266647068971	31.75
7.795924425125122	1e-17	119.72662473608828	33.25
7.950177431106567	1e-17	119.72662473608828	33.25
8.050498247146606	1e-17	119.72662473608828	33.25
8.197158813476562	1e-17	119.72662473608828	30.25
8.396577835083008	1e-17	119.72662473608828	30.25
8.457006454467773	1e-17	119.72662473608828	30.25
8.596822738647461	1e-17	119.72662473608828	30.25
8.796126365661621	1e-17	119.72662473608828	29.5
8.906595706939697	1e-17	119.72662473608828	32.25
9.06439995765686	1e-17	119.72662473608828	32.25
9.196125030517578	1e-17	119.72662473608828	32.25
9.38624095916748	1e-17	119.72662473608828	31.25
9.470866918563843	5.6233386579228415e-15	119.72677616923359	31.25
9.596035480499268	1e-17	119.72662473608828	31.25
9.79613995552063	1e-17	119.72662473608828	30.5
9.87474799156189	1e-17	119.72662473608828	30.5
9.99704384803772	1e-17	119.72662473608828	30.5
10.197204113006592	1e-17	119.72662473608828	31.75
10.346110820770264	1e-17	119.72662473608828	31.0
10.4821617603302	1e-17	119.72662473608828	31.0
10.595927715301514	7.881505201896757e-15	119.7268370886406	31.0
10.796119451522827	1e-17	119.72662473608828	31.5
10.887831449508667	1e-17	119.72662473608828	31.5
10.995465278625488	1.2713725674995922e-14	119.72696744926725	31.5
11.195159435272217	1e-17	119.72662473608828	28.25
