Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.00299072265625	9.587354171734612e-17	119.72662705273108	23.75
0.19929003715515137	5.985124505378248e-13	119.74277076148947	23.75
0.35994863510131836	5.985124505378248e-13	119.74277076148947	23.75
0.45676493644714355	6.745357853006617e-13	119.74482167154517	23.75
0.5989334583282471	6.129252379076522e-13	119.74315958066768	23.75
0.747565746307373	6.129252379076522e-13	119.74315958066768	23.0
0.8617582321166992	5.898595956295438e-13	119.74253733017267	23.0
0.9993915557861328	5.51734927276698e-13	119.74150882667517	23.0
1.1998560428619385	5.93115129492866e-13	119.74262515593244	23.25
1.2666749954223633	5.93115129492866e-13	119.74262515593244	23.25
1.3996105194091797	6.191112618229855e-13	119.74332646335827	23.25
1.599682331085205	6.346947164885541e-13	119.74374686406782	23.25
1.708465814590454	6.346947164885541e-13	119.74374686406782	23.25
1.798943281173706	6.288186117642258e-13	119.74358834218364	23.25
2.001051664352417	6.464759283453247e-13	119.74406469024501	23.5
2.1894772052764893	6.464759283453247e-13	119.74406469024501	23.5
2.2793097496032715	5.864235421045028e-13	119.74244463446617	23.5
2.399425983428955	6.694090269078468e-13	119.74468336505844	23.5
2.598891258239746	6.145485054002975e-13	119.74320337216452	23.0
2.684662342071533	6.145485054002975e-13	119.74320337216452	23.0
2.799354314804077	5.863423353617836e-13	119.74244244372136	23.0
2.998823881149292	6.118980105593308e-13	119.7431318687697	23.25
3.148421287536621	6.118980105593308e-13	119.7431318687697	23.5
3.2950596809387207	5.829755623555644e-13	119.74235161702144	23.5
3.3987529277801514	6.011120420867933e-13	119.74284089164708	23.5
3.6011362075805664	6.078427691735833e-13	119.74302246899971	23.0
3.6984293460845947	6.078427691735833e-13	119.74302246899971	23.0
3.800591230392456	6.405107022024181e-13	119.74390376409886	23.0
3.9994633197784424	5.326498790647616e-13	119.74099396216135	23.5
4.108174562454224	5.326498790647616e-13	119.74099396216135	23.5
4.203946828842163	6.536362705429621e-13	119.74425785748585	23.5
4.399221420288086	5.913349779458621e-13	119.74257713211556	23.25
4.588352918624878	5.913349779458621e-13	119.74257713211556	23.0
4.714252948760986	6.437212958856908e-13	119.74399037749052	23.0
4.8131163120269775	5.9027034562259e-13	119.7425484111295	23.0
4.999664783477783	5.556260204535313e-13	119.74161379815727	23.0
5.117306232452393	5.556260204535313e-13	119.74161379815727	23.0
5.215543746948242	5.668781958602376e-13	119.74191735231945	23.0
5.400132894515991	5.752441708736789e-13	119.74214304436958	23.25
5.549429655075073	5.752441708736789e-13	119.74214304436958	23.25
5.624095678329468	6.111233481070899e-13	119.74311097040976	23.25
5.80114483833313	5.569781289828379e-13	119.7416502744969	22.75
6.0000855922698975	5.565098078544328e-13	119.74163764042193	23.0
6.131947755813599	5.565098078544328e-13	119.74163764042193	23.0
6.234040021896362	6.616235879476629e-13	119.74447333434745	23.0
6.3989973068237305	6.123585796422026e-13	119.74314429371482	23.75
6.536611795425415	6.123585796422026e-13	119.74314429371482	23.75
6.634065389633179	6.0894583646387e-13	119.7430522268603	23.75
6.800461769104004	5.673563290183037e-13	119.74193025109723	23.5
6.989243268966675	5.673563290183037e-13	119.74193025109723	23.25
7.1400840282440186	6.334277178297876e-13	119.74371268376912	23.25
7.244946002960205	6.034424262363336e-13	119.74290375929556	23.25
7.4000585079193115	5.74860363304619e-13	119.74213269024864	23.5
7.548755645751953	5.74860363304619e-13	119.74213269024864	23.5
7.650415897369385	5.22172528740622e-13	119.74071131074645	23.5
7.801012992858887	6.692743689980241e-13	119.74467973234142	23.25
7.953487396240234	6.692743689980241e-13	119.74467973234142	23.25
8.056018352508545	6.249503410431234e-13	119.74348398639151	23.25
8.200071811676025	6.198345330922506e-13	119.74334597531896	23.25
8.399132490158081	6.460884886989871e-13	119.74405423814015	23.25
8.458653688430786	6.460884886989871e-13	119.74405423814015	23.25
8.601123571395874	5.745787417903159e-13	119.74212509283927	23.25
8.800968408584595	6.094331853404023e-13	119.74306537425399	23.25
8.908830881118774	6.094331853404023e-13	119.74306537425399	22.75
9.067407369613647	6.187849169690673e-13	119.74331765943057	22.75
9.199185132980347	6.38076397274645e-13	119.7438380929405	22.75
9.39103078842163	6.38076397274645e-13	119.7438380929405	23.0
9.470717430114746	5.530816690052509e-13	119.74154515823261	23.0
9.600072860717773	5.749227049295369e-13	119.74213437206207	23.0
9.800966024398804	5.556363203741699e-13	119.7416140760221	22.75
9.879057168960571	5.556363203741699e-13	119.7416140760221	22.75
10.000739336013794	6.442288109226313e-13	119.7440040689143	22.75
10.201158046722412	6.028654680502454e-13	119.74288819447787	23.0
10.35108494758606	6.028654680502454e-13	119.74288819447787	23.0
10.483293771743774	6.417034872224781e-13	119.74393594230834	23.0
10.599451065063477	5.424891764103934e-13	119.74125940058141	23.0
10.801160097122192	5.476083995981096e-13	119.7413975037881	22.75
10.890579462051392	5.476083995981096e-13	119.7413975037881	22.75
10.999989986419678	6.424368957820559e-13	119.74395572774652	22.75
11.201245069503784	6.208302101573526e-13	119.7433728360731	23.0
11.311208724975586	6.208302101573526e-13	119.7433728360731	23.0
11.401501178741455	6.062313736947267e-13	119.74297899777865	23.0
11.601128101348877	5.778824684402051e-13	119.74221421871395	23.25
11.791003704071045	5.778824684402051e-13	119.74221421871395	23.25
11.904166221618652	6.169505553134391e-13	119.74326817316722	23.25
12.004294872283936	6.295025807047383e-13	119.74360679387064	23.25
12.201173543930054	5.751322269993697e-13	119.74214002441764	23.5
12.307874202728271	5.751322269993697e-13	119.74214002441764	23.5
12.409694910049438	6.372031266348166e-13	119.74381453439047	23.5
12.601076364517212	5.677332519035683e-13	119.74194041948748	23.75
12.751334428787231	5.677332519035683e-13	119.74194041948748	23.75
12.81600284576416	6.058803090312759e-13	119.74296952697536	23.75
13.001169919967651	5.993772644007078e-13	119.74279409189786	23.0
13.199146032333374	6.411941290418444e-13	119.7439222011614	22.75
13.319640874862671	6.411941290418444e-13	119.7439222011614	22.75
13.421768188476562	6.27525538043211e-13	119.7435534584482	22.75
13.601123809814453	6.112671675252701e-13	119.74311485028022	22.75
13.724881410598755	6.112671675252701e-13	119.74311485028022	22.75
13.826192855834961	5.996793773360709e-13	119.74280224211199	22.75
13.999918460845947	6.368529293331038e-13	119.74380508698633	23.0
14.191595792770386	6.368529293331038e-13	119.74380508698633	22.75
14.330995321273804	6.043166184480087e-13	119.74292734270719	22.75
14.43294882774353	6.148165201773359e-13	119.74321060249983	22.75
14.60116457939148	5.876240249599873e-13	119.74247702034305	23.0
14.734948635101318	5.876240249599873e-13	119.74247702034305	23.0
14.838745355606079	5.832274225202327e-13	119.7423584115477	23.0
14.999978065490723	6.434025404469801e-13	119.74398177830534	23.25
15.152001142501831	6.434025404469801e-13	119.74398177830534	23.25
15.245356321334839	6.148625987696665e-13	119.74321184557931	23.25
15.399925231933594	5.995285106037695e-13	119.7427981721235	22.75
15.599516868591309	5.776888299321992e-13	119.7422089948552	23.25
15.748172044754028	5.776888299321992e-13	119.7422089948552	23.25
15.851512908935547	5.786417894317053e-13	119.74223470320155	23.25
16.000041961669922	5.960721282879944e-13	119.74270492799957	23.25
