Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.004029750823974609	9.587354171734612e-17	119.72662705273108	22.75
0.16016030311584473	9.587354171734612e-17	119.72662705273108	22.75
0.2626004219055176	1e-17	119.72662473608828	22.75
0.40091609954833984	1e-17	119.72662473608828	22.75
0.5097415447235107	1e-17	119.72662473608828	22.75
0.6658592224121094	1e-17	119.72662473608828	22.75
0.7999753952026367	1e-17	119.72662473608828	22.75
0.988922119140625	1e-17	119.72662473608828	22.75
1.071702480316162	1e-17	119.72662473608828	22.75
1.2003581523895264	1e-17	119.72662473608828	22.75
1.3998231887817383	1e-17	119.72662473608828	23.0
1.4763643741607666	1e-17	119.72662473608828	23.0
1.5999195575714111	1e-17	119.72662473608828	23.0
1.8000833988189697	8.78730868316335e-15	119.72686152484133	23.0
1.9503285884857178	8.78730868316335e-15	119.72686152484133	22.5
2.0837032794952393	1e-17	119.72662473608828	22.5
2.2010481357574463	1e-17	119.72662473608828	22.5
2.4020142555236816	1e-17	119.72662473608828	23.0
2.489013910293579	1e-17	119.72662473608828	23.0
2.5997791290283203	1e-17	119.72662473608828	23.0
2.8020710945129395	1e-17	119.72662473608828	22.75
2.9098222255706787	1e-17	119.72662473608828	22.75
3.0013835430145264	1e-17	119.72662473608828	22.75
3.2012617588043213	1e-17	119.72662473608828	22.5
3.389238119125366	1e-17	119.72662473608828	22.25
3.4999148845672607	1e-17	119.72662473608828	22.25
3.6026389598846436	1e-17	119.72662473608828	22.25
3.7998769283294678	1e-17	119.72662473608828	22.5
3.9079301357269287	1e-17	119.72662473608828	22.5
4.010379314422607	1e-17	119.72662473608828	22.5
4.202056646347046	1e-17	119.72662473608828	22.75
4.350260972976685	1e-17	119.72662473608828	22.75
4.415783643722534	1e-17	119.72662473608828	22.75
4.601325035095215	8.085204767250154e-15	119.72684258392029	22.5
4.802243232727051	1e-17	119.72662473608828	22.75
4.919581651687622	1e-17	119.72662473608828	22.75
5.021728038787842	1e-17	119.72662473608828	22.75
5.201898097991943	1e-17	119.72662473608828	22.25
5.325122356414795	1e-17	119.72662473608828	22.25
5.42710280418396	1e-17	119.72662473608828	22.25
5.602214097976685	3.3959113631212585e-15	119.72671607909085	22.5
5.791544675827026	3.3959113631212585e-15	119.72671607909085	22.75
5.931320667266846	1e-17	119.72662473608828	22.75
6.032750844955444	6.885691764490186e-16	119.72664304210383	22.75
6.201960802078247	1e-17	119.72662473608828	22.5
6.337022066116333	1e-17	119.72662473608828	22.5
6.4401280879974365	1e-17	119.72662473608828	22.5
6.601140260696411	1e-17	119.72662473608828	22.75
6.751733303070068	1e-17	119.72662473608828	22.75
6.844638824462891	1e-17	119.72662473608828	22.75
7.001842021942139	1e-17	119.72662473608828	22.75
7.20243239402771	1e-17	119.72662473608828	22.75
7.348888874053955	1e-17	119.72662473608828	22.75
7.448443651199341	1e-17	119.72662473608828	22.75
7.602134466171265	1e-17	119.72662473608828	22.75
7.750945568084717	1e-17	119.72662473608828	22.75
7.853936433792114	1e-17	119.72662473608828	22.75
8.000109434127808	1e-17	119.72662473608828	23.0
8.191449165344238	1e-17	119.72662473608828	23.0
8.260693550109863	1e-17	119.72662473608828	23.0
8.401850461959839	1e-17	119.72662473608828	23.0
8.602136135101318	1e-17	119.72662473608828	22.25
8.672040224075317	1e-17	119.72662473608828	22.25
8.802136182785034	1e-17	119.72662473608828	22.25
9.00208330154419	1e-17	119.72662473608828	23.0
9.152137041091919	1e-17	119.72662473608828	23.0
9.273417234420776	1.095001757859702e-14	119.7269198690515	23.0
9.400431871414185	1e-17	119.72662473608828	23.0
