Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.0029921531677246094	9.587354171734612e-17	119.72662705273108	19.25
0.1555464267730713	9.587354171734612e-17	119.72662705273108	19.25
0.2599458694458008	1e-17	119.72662473608828	19.25
0.3961362838745117	1e-17	119.72662473608828	19.25
0.5059528350830078	1e-17	119.72662473608828	18.0
0.6629865169525146	1e-17	119.72662473608828	18.0
0.8009560108184814	1e-17	119.72662473608828	18.0
0.9852931499481201	1e-17	119.72662473608828	18.25
1.0680735111236572	1e-17	119.72662473608828	18.25
1.1969714164733887	1e-17	119.72662473608828	18.25
1.396437644958496	1e-17	119.72662473608828	17.25
1.4736802577972412	1e-17	119.72662473608828	17.25
1.5963544845581055	1e-17	119.72662473608828	17.25
1.7959136962890625	1e-17	119.72662473608828	17.5
1.9451539516448975	1e-17	119.72662473608828	17.25
2.0846269130706787	3.938250211512305e-14	119.72768690286587	17.25
2.1968679428100586	1e-17	119.72662473608828	17.25
2.3982508182525635	1e-17	119.72662473608828	18.25
2.489166498184204	1e-17	119.72662473608828	18.25
2.595881700515747	1e-17	119.72662473608828	18.25
2.79634690284729	1e-17	119.72662473608828	17.0
2.906052589416504	1e-17	119.72662473608828	17.0
2.9974780082702637	1e-17	119.72662473608828	17.0
3.1972732543945312	1e-17	119.72662473608828	18.0
3.386442184448242	1e-17	119.72662473608828	18.25
3.506450653076172	1e-17	119.72662473608828	18.25
3.608177900314331	1e-17	119.72662473608828	18.25
3.796643018722534	1e-17	119.72662473608828	17.0
3.9114253520965576	1e-17	119.72662473608828	17.0
4.0130932331085205	1e-17	119.72662473608828	17.0
4.19719123840332	1e-17	119.72662473608828	18.0
4.346923828125	1e-17	119.72662473608828	18.0
4.420639276504517	1e-17	119.72662473608828	18.0
4.59710168838501	1e-17	119.72662473608828	17.5
4.7972800731658936	1e-17	119.72662473608828	18.25
4.929522752761841	1e-17	119.72662473608828	18.25
5.029833555221558	1e-17	119.72662473608828	18.25
5.196259021759033	1e-17	119.72662473608828	17.75
5.335047245025635	1e-17	119.72662473608828	17.75
5.435353517532349	1e-17	119.72662473608828	17.75
5.596128702163696	1e-17	119.72662473608828	18.0
5.787084341049194	1e-17	119.72662473608828	17.75
5.94481897354126	1e-17	119.72662473608828	17.75
6.040514707565308	1e-17	119.72662473608828	17.75
6.196078300476074	1e-17	119.72662473608828	18.75
6.349975109100342	1e-17	119.72662473608828	18.75
6.450918436050415	1e-17	119.72662473608828	18.75
6.596835613250732	1e-17	119.72662473608828	18.5
6.755639553070068	1e-17	119.72662473608828	18.5
6.858306646347046	1e-17	119.72662473608828	18.5
6.996679782867432	1.152002183594646e-15	119.72665554431012	18.5
7.197772979736328	4.35956880404792e-14	119.72780056356501	18.25
7.264188051223755	4.35956880404792e-14	119.72780056356501	18.25
7.397284030914307	1e-17	119.72662473608828	18.25
