Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.0009980201721191406	9.587354171734612e-17	119.72662705273108	28.5
0.15558409690856934	9.587354171734612e-17	119.72662705273108	28.5
0.25831007957458496	3.6322778552283497e-12	119.8246137902713	28.5
0.400928258895874	3.6072206419796027e-12	119.8239378124182	28.5
0.5096375942230225	3.6072206419796027e-12	119.8239378124182	23.25
0.6632275581359863	3.649288770474213e-12	119.82507270012107	23.25
0.8008589744567871	3.64787583820303e-12	119.8250345829165	23.25
0.9893548488616943	3.64787583820303e-12	119.8250345829165	21.25
1.0691423416137695	3.626804368980774e-12	119.82446612997701	21.25
1.2007901668548584	3.636739130327693e-12	119.82473414376528	21.25
1.4012541770935059	3.590170261774661e-12	119.8234778379074	22.0
1.47505784034729	3.590170261774661e-12	119.8234778379074	22.0
1.6007235050201416	3.52703088089823e-12	119.82177450311482	22.0
1.801185131072998	3.5388545392700532e-12	119.8220934743876	23.75
1.9497878551483154	3.5388545392700532e-12	119.8220934743876	22.75
2.0804386138916016	3.5071674297365574e-12	119.82123863933228	22.75
2.2011165618896484	3.5648439495467033e-12	119.82279460047006	22.75
2.400583028793335	3.5433394499767568e-12	119.82221446550824	21.25
2.4863533973693848	3.5433394499767568e-12	119.82221446550824	21.25
2.6010470390319824	3.5088175854430803e-12	119.82128315620255	21.25
2.80051326751709	3.4811567690973266e-12	119.82053693997081	24.0
2.910221576690674	3.4811567690973266e-12	119.82053693997081	24.0
3.0009775161743164	3.460350062045592e-12	119.81997562961983	24.0
3.200444221496582	3.4582258931492582e-12	119.81991832511768	23.0
3.389939069747925	3.4582258931492582e-12	119.81991832511768	24.25
3.497650623321533	3.4655498956648323e-12	119.82011590748439	24.25
3.6003756523132324	3.4341171399610015e-12	119.81926793422787	24.25
3.800839424133301	3.510702362499729e-12	119.82133400254112	23.75
3.9035654067993164	3.510702362499729e-12	119.82133400254112	23.75
4.006290674209595	3.425369579992954e-12	119.81903194801708	23.75
4.200770378112793	3.3996006964381875e-12	119.81833677116683	24.25
4.350370407104492	3.3996006964381875e-12	119.81833677116683	24.25
4.411208629608154	3.4775949481202773e-12	119.82044085138851	24.25
4.600701570510864	3.3962919282481963e-12	119.81824750928462	24.5
4.801165580749512	3.4776034048972226e-12	119.82044107953016	24.5
4.9148619174957275	3.4776034048972226e-12	119.82044107953016	24.5
5.017586946487427	3.3667413475158003e-12	119.81745031216923	24.5
5.201096296310425	3.337433628070041e-12	119.81665966681398	24.5
5.320777177810669	3.337433628070041e-12	119.81665966681398	24.5
5.422504901885986	3.3000902358026885e-12	119.81565224009489	24.5
5.601027727127075	3.3610694522706597e-12	119.81729729932088	24.25
5.790520668029785	3.3610694522706597e-12	119.81729729932088	24.0
5.9271557331085205	3.359887888743085e-12	119.81726542383781	24.0
6.028884172439575	3.3239689212899437e-12	119.81629642436194	24.0
6.200424909591675	3.3029369170267664e-12	119.81572903608345	24.5
6.332073211669922	3.3029369170267664e-12	119.81572903608345	24.5
6.434798955917358	3.340275972485429e-12	119.81673634580683	24.5
6.600356101989746	3.302695139942302e-12	119.81572251357224	24.0
6.749955892562866	3.302695139942302e-12	119.81572251357224	24.0
6.83971643447876	3.292537900309589e-12	119.81544849790369	24.0
7.000286817550659	3.3265716570252124e-12	119.81636663934142	24.25
7.20075249671936	3.2074527495790095e-12	119.81315312383508	24.5
7.343370199203491	3.2074527495790095e-12	119.81315312383508	24.5
7.446098804473877	3.271740300556103e-12	119.81488743324371	24.5
7.600681781768799	3.2159600503456343e-12	119.81338262848314	24.75
7.749285459518433	3.2159600503456343e-12	119.81338262848314	24.75
7.852010250091553	3.310258534297561e-12	119.81592655410252	24.75
8.000612735748291	3.1944594539035087e-12	119.81280259881747	24.75
8.190106630325317	3.1944594539035087e-12	119.81280259881747	24.75
8.25692892074585	3.2188078157718847e-12	119.81345945372065	24.75
8.400543928146362	3.2457467703111975e-12	119.81418619601533	24.75
8.60100769996643	3.2176195301908406e-12	119.81342739689421	24.5
8.67082166671753	3.2176195301908406e-12	119.81342739689421	24.5
8.800474882125854	3.196356157184055e-12	119.81285376689425	24.5
9.000939130783081	3.1715422389028136e-12	119.81218435250085	25.0
9.150538921356201	3.1715422389028136e-12	119.81218435250085	31.0
9.269222259521484	3.1412880109604746e-12	119.8113681728304	31.0
9.400870561599731	3.196124571600012e-12	119.81284751932297	31.0
9.601334571838379	3.1330240051613556e-12	119.81114523164206	31.0
9.674139738082886	3.1330240051613556e-12	119.81114523164206	31.0
9.800800800323486	3.179592656873953e-12	119.81240153165014	31.0
10.001265287399292	3.1528746627373927e-12	119.81168075028724	31.75
10.110971450805664	3.1528746627373927e-12	119.81168075028724	31.75
10.200732946395874	3.1377637033785932e-12	119.81127309626106	31.75
10.401195526123047	3.0715833522487745e-12	119.80948772407179	32.0
10.590689659118652	3.0715833522487745e-12	119.80948772407179	31.25
10.68643307685852	3.094515095558581e-12	119.81010636232405	31.25
10.801126480102539	3.1176693171541814e-12	119.81073100245658	31.25
11.000593185424805	3.099478356263785e-12	119.81024025807226	30.25
11.091351509094238	3.099478356263785e-12	119.81024025807226	30.25
11.20105767250061	3.102319833317435e-12	119.81031691366596	30.25
11.400524854660034	3.1113046167208225e-12	119.81055929954245	31.5
11.551121711730957	3.1113046167208225e-12	119.81055929954245	32.0
11.701719760894775	3.0919299238985065e-12	119.8100366211772	32.0
11.800456047058105	3.0210343775205484e-12	119.80812404539472	32.0
12.000919580459595	3.0534047512631446e-12	119.80899731312525	31.25
12.106637477874756	3.0534047512631446e-12	119.80899731312525	31.25
12.205373287200928	3.07185266806842e-12	119.80949498950581	31.25
12.400851964950562	3.0158312912947904e-12	119.80798367978338	30.75
12.510557174682617	3.0158312912947904e-12	119.80798367978338	30.75
12.611289024353027	2.95605467187654e-12	119.80637106346968	30.75
12.800782442092896	2.993618374025342e-12	119.80738443357119	30.75
12.99127197265625	2.993618374025342e-12	119.80738443357119	31.5
13.118931770324707	2.9876600325662306e-12	119.80722369315573	31.5
13.221656322479248	2.929577153781837e-12	119.80565676951927	31.5
13.401176452636719	2.9865315949451077e-12	119.8071932508702	31.25
13.52384901046753	2.9865315949451077e-12	119.8071932508702	31.25
13.622584819793701	2.96221207285452e-12	119.80653717398853	31.25
13.801108121871948	2.9513262493618964e-12	119.80624350303954	31.5
13.951706171035767	2.9513262493618964e-12	119.80624350303954	31.5
