Time(s)	Photodiode_Current(A)	Fit_Temperature(C)	Sputter_Gun_Temperature(C)
0.002000093460083008	9.587354171734612e-17	119.72662705273108	23.25
0.19886231422424316	1.2609309213082454e-12	119.76064107337484	23.25
0.35731053352355957	1.2609309213082454e-12	119.76064107337484	23.25
0.4588782787322998	1.2823651645774148e-12	119.76121931300607	23.25
0.598484992980957	1.2678187492898285e-12	119.76082688889733	23.25
0.7464165687561035	1.2678187492898285e-12	119.76082688889733	23.0
0.8631026744842529	1.2728326422364877e-12	119.76096215057052	23.0
0.997744083404541	1.2287411756475852e-12	119.75977267851593	23.0
1.1981792449951172	1.2195014963134465e-12	119.75952341621618	22.5
1.267991542816162	1.2195014963134465e-12	119.75952341621618	22.5
1.3976466655731201	1.2466795174317924e-12	119.76025660789975	22.5
1.5981228351593018	1.2002734960450678e-12	119.75900469523106	23.0
1.7066824436187744	1.2002734960450678e-12	119.75900469523106	23.0
1.7976679801940918	1.3419340508594169e-12	119.76282632522492	23.0
1.9993700981140137	1.1620952681049013e-12	119.75797474683645	22.25
2.1888163089752197	1.1620952681049013e-12	119.75797474683645	23.0
2.279978036880493	1.2236508464477658e-12	119.75963535479322	23.0
2.40000581741333	1.2873666976193077e-12	119.76135424124148	23.0
2.598005533218384	1.2321885048752201e-12	119.7598656784113	22.5
2.688472032546997	1.2321885048752201e-12	119.7598656784113	22.5
2.798043727874756	1.2219173155941787e-12	119.75958858868029	22.5
2.999908685684204	1.3197909562098764e-12	119.76222896264377	22.25
3.1478188037872314	1.3197909562098764e-12	119.76222896264377	22.5
3.2924938201904297	1.198958358809843e-12	119.7589692162799	22.5
3.399949073791504	1.2668168380622347e-12	119.76079985996182	22.5
3.597841262817383	1.2587439771061248e-12	119.76058207535971	22.75
3.6968255043029785	1.2587439771061248e-12	119.76058207535971	22.75
3.801941156387329	1.304079782528389e-12	119.76180511641037	22.75
3.9995174407958984	1.2641442797070579e-12	119.76072776135129	23.0
4.109210014343262	1.2641442797070579e-12	119.76072776135129	23.0
4.207493782043457	1.2270755158499957e-12	119.75972774338597	23.0
4.399854898452759	1.1855165286955849e-12	119.75860659098026	23.0
4.588156461715698	1.1855165286955849e-12	119.75860659098026	22.75
4.709712028503418	1.2733220510971477e-12	119.76097535353718	22.75
4.813400506973267	1.304714474480162e-12	119.76182223873354	22.75
4.9997687339782715	1.2290120093502721e-12	119.75977998489846	23.25
5.116621017456055	1.2290120093502721e-12	119.75977998489846	23.25
5.2191689014434814	1.2729301120117942e-12	119.76096478004926	23.25
5.400107383728027	1.2378454381303805e-12	119.76001828762442	23.25
5.548206806182861	1.2378454381303805e-12	119.76001828762442	23.25
5.624540328979492	1.310618605830649e-12	119.76198151670253	23.25
5.7987706661224365	1.2342206250071097e-12	119.75992049967935	23.5
