5.858429126803537596e-09	3.502302302302302337e+02
5.880255944467166800e-09	3.505405405405405190e+02
5.902183203807572091e-09	3.508508508508508612e+02
5.924322171954244409e-09	3.511611611611611465e+02
5.946511950214426074e-09	3.514714714714714887e+02
5.968967309740671151e-09	3.517817817817817740e+02
5.991474668241862464e-09	3.520920920920921162e+02
6.014198689138641867e-09	3.524024024024024015e+02
6.037027907157942434e-09	3.527127127127126869e+02
6.060023687287905994e-09	3.530230230230230291e+02
6.083179072171800201e-09	3.533333333333333144e+02
6.106449727155762602e-09	3.536436436436436566e+02
6.129935614320106379e-09	3.539539539539539419e+02
6.153484277537066182e-09	3.542642642642642841e+02
6.177305030467088657e-09	3.545745745745745694e+02
6.201180712451877427e-09	3.548848848848848547e+02
6.225294863304525185e-09	3.551951951951951969e+02
6.249511035580060012e-09	3.555055055055055391e+02
6.273912701351747881e-09	3.558158158158158244e+02
6.298473793853200227e-09	3.561261261261261097e+02
6.323166178955640776e-09	3.564364364364364519e+02
6.348076649687570191e-09	3.567467467467467372e+02
6.373062976290629262e-09	3.570570570570570226e+02
6.398327311326973459e-09	3.573673673673673647e+02
6.423649585696124963e-09	3.576776776776777069e+02
6.449233532842774794e-09	3.579879879879879923e+02
6.474915452427913659e-09	3.582982982982982776e+02
6.500803114133884460e-09	3.586086086086086198e+02
6.526849231458896523e-09	3.589189189189189051e+02
6.553043900926768969e-09	3.592292292292292473e+02
6.579458796584912436e-09	3.595395395395395326e+02
6.605963784775446119e-09	3.598498498498498748e+02
6.632752067429351569e-09	3.601601601601601601e+02
6.659601379892318852e-09	3.604704704704704454e+02
6.686737009443157860e-09	3.607807807807807876e+02
6.713965646199991396e-09	3.610910910910910729e+02
6.741421633904829842e-09	3.614014014014014151e+02
6.769034270068111642e-09	3.617117117117117004e+02
6.796813997920410716e-09	3.620220220220220426e+02
6.824815336672099301e-09	3.623323323323323280e+02
6.852922204423498280e-09	3.626426426426426133e+02
6.881316977014931985e-09	3.629529529529529555e+02
6.909775950089898039e-09	3.632632632632632976e+02
6.938547367927136113e-09	3.635735735735735830e+02
6.967405868526460085e-09	3.638838838838838683e+02
6.996514732066788561e-09	3.641941941941942105e+02
7.025777557891758566e-09	3.645045045045044958e+02
7.055227337919514186e-09	3.648148148148147811e+02
7.084899314740794845e-09	3.651251251251251233e+02
7.114693499798511463e-09	3.654354354354354655e+02
7.144779481456126535e-09	3.657457457457457508e+02
7.174932914469960463e-09	3.660560560560560361e+02
7.205426446247860879e-09	3.663663663663663783e+02
7.236000134169177844e-09	3.666766766766766636e+02
7.266848643153660544e-09	3.669869869869870058e+02
7.297847506272445663e-09	3.672972972972972912e+02
7.329054552038737002e-09	3.676076076076076333e+02
7.360483538714348591e-09	3.679179179179179187e+02
7.392052698595850529e-09	3.682282282282282040e+02
7.423916785257030029e-09	3.685385385385385462e+02
7.455851654345324269e-09	3.688488488488488315e+02
7.488155845490178048e-09	3.691591591591591737e+02
7.520532221021701488e-09	3.694694694694694590e+02
7.553209364831038621e-09	3.697797797797798012e+02
7.586032289684473382e-09	3.700900900900900865e+02
7.619086034524399084e-09	3.704004004004003718e+02
7.652360579647812065e-09	3.707107107107107140e+02
7.685794591642624528e-09	3.710210210210210562e+02
7.719525856053439284e-09	3.713313313313313415e+02
